0 1 2 3
4 1 5 6
4 7 8 9
10 1 11 3
0 7 12 13
0 1 2 14
4 7 12 6
0 7 12 14
4 1 5 3
4 7 8 9
10 1 11 3
15 1 16 13
0 1 17 18
10 7 17 19
4 7 16 3
10 7 20 18
4 7 16 21
10 7 20 18
0 1 11 21
4 1 5 13
10 7 8 9
15 1 16 3
4 1 8 18
10 1 11 3
0 7 12 13
15 7 16 14
0 7 17 18
4 1 8 19
0 1 2 3
10 1 11 6
0 7 12 13
10 1 11 14
10 1 11 3
4 7 12 13
15 7 16 14
10 7 20 18
4 1 8 21
0 1 2 3
0 7 12 6
10 7 12 14
10 7 12 14
15 1 8 14
0 1 2 3
4 1 5 6
4 7 8 9
10 1 11 3
10 7 12 13
4 7 16 14
15 7 16 18
0 1 17 18
0 1 2 19
0 1 2 3
4 1 5 6
10 1 8 9
